location,opening,source,row_or_symbol,claim_type
05_results.md / 5.3 / block 2,"Although the main policy's largest absolute contribution was assigned to the first stage, its differ",analysis/timing_contributions.csv; analysis/timing_identity_checks.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_event_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_same_cost_states.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,9methods x4stages; main793events/381increases; three frozen cases,timing accounting / executed case illustration
05_results.md / 5.3 / block 3,"Geometry-spread displayed a different timing pattern, with contributions of 7.143, 2.672, −0.124 and",analysis/timing_contributions.csv; analysis/timing_identity_checks.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_event_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_same_cost_states.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,9methods x4stages; main793events/381increases; three frozen cases,timing accounting / executed case illustration
05_results.md / 5.3 / block 4,![Timing-weighted error contributions grouped by acquisition completion stage. All nine methods and ,analysis/timing_contributions.csv; analysis/timing_identity_checks.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_event_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_same_cost_states.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,9methods x4stages; main793events/381increases; three frozen cases,timing accounting / executed case illustration
05_results.md / 5.3 / block 5,The event records also show why useful sequential acquisition should not be equated with improvement,analysis/timing_contributions.csv; analysis/timing_identity_checks.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_event_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_same_cost_states.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,9methods x4stages; main793events/381increases; three frozen cases,timing accounting / executed case illustration
05_results.md / 5.3 / block 6,"Three previously fixed specimens, c8-16, q16-29 and q24-48, provide the process illustrations. Their",analysis/timing_contributions.csv; analysis/timing_identity_checks.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_event_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_same_cost_states.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,9methods x4stages; main793events/381increases; three frozen cases,timing accounting / executed case illustration
05_results.md / 5.3 / block 7,![An executed partial-observation state for the preselected c8-16 case after four acquisitions. Grey,analysis/timing_contributions.csv; analysis/timing_identity_checks.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_event_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_same_cost_states.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,9methods x4stages; main793events/381increases; three frozen cases,timing accounting / executed case illustration
05_results.md / 5.4 / block 1,"An acquisition advantage depends on the target quality and the comparator. At q=46.909917 MPa, the g",results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/quality_targets.csv,q46.9099169921875; primary main/geometry/static0.0625/0.125/0.0625; event-grid recrossings,"group first passage, not individual stopping"
05_results.md / 5.4 / block 2,The finer event grid resolves earlier crossings but also reveals their instability. For the same tar,results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/quality_targets.csv,q46.9099169921875; primary main/geometry/static0.0625/0.125/0.0625; event-grid recrossings,"group first passage, not individual stopping"
05_results.md / 5.4 / block 3,Figure 6 presents the full main-grid target range rather than a single favourable threshold. Supplem,results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/quality_targets.csv,q46.9099169921875; primary main/geometry/static0.0625/0.125/0.0625; event-grid recrossings,"group first passage, not individual stopping"
05_results.md / 5.4 / block 4,![Earliest supported cap at each empirical MAE target on the primary five-cap grid. Missing points d,results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_grid.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/equal_quality_anchors.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/quality_targets.csv,q46.9099169921875; primary main/geometry/static0.0625/0.125/0.0625; event-grid recrossings,"group first passage, not individual stopping"
05_results.md / 5.5 / block 1,"The common predictor with complete internal and surface input achieved 41.690 MPa MAE, 53.944 MPa RM",results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_gap.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics_by_domain.csv,full MAE41.69001007080078; nine methods; geometry3/3 open5/1,quality gap and bounded engineering interpretation
05_results.md / 5.5 / block 2,The engineering contribution is the explicit coupling between an assessment objective and the organi,results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_gap.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics_by_domain.csv,full MAE41.69001007080078; nine methods; geometry3/3 open5/1,quality gap and bounded engineering interpretation
05_results.md / 5.5 / block 3,"Domain-level results further bound the comparison. Against geometry-spread, the main policy's area d",results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_gap.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics_by_domain.csv,full MAE41.69001007080078; nine methods; geometry3/3 open5/1,quality gap and bounded engineering interpretation
05_results.md / 5.5 / block 4,The current evidence supports an offline image-acquisition method and a quality–acquisition analysis,results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_gap.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/same_cost_metrics_by_domain.csv,full MAE41.69001007080078; nine methods; geometry3/3 open5/1,quality gap and bounded engineering interpretation
06_conclusions.md / 6 / block 1,This study formulated partial C-scan acquisition as a sequential decision problem for compression-af,results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_area_intervals.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; analysis/timing_contributions.csv,main/geometry endpoints; four contrasts; complete reference; main-open stage2,conclusion synthesis within selected-validation scope
06_conclusions.md / 6 / block 2,"On 50 selected validation specimens, the main policy achieved 44.286 MPa MAE under a 25% acquisition",results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_area_intervals.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; analysis/timing_contributions.csv,main/geometry endpoints; four contrasts; complete reference; main-open stage2,conclusion synthesis within selected-validation scope
06_conclusions.md / 6 / block 3,The resulting contribution is a reproducible way to connect observation allocation with a mechanical,results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/mechanism_area_intervals.csv; results/cai_agent_v3/paper_evidence/r1_e2a11154/full_scan_reference.json; analysis/timing_contributions.csv,main/geometry endpoints; four contrasts; complete reference; main-open stage2,conclusion synthesis within selected-validation scope
