specimen_key,dataset_id,specimen_id,capture_group_id,split,v2_member
ykhs7s2dck:q8-38,ykhs7s2dck,q8-38,cg_a9e4a0b366a73675,TEST,False
ykhs7s2dck:q8-39,ykhs7s2dck,q8-39,cg_2a886fcf0043e52e,TRAIN,False
ykhs7s2dck:q8-4,ykhs7s2dck,q8-4,cg_dc57f546ba560d7d,TEST,True
ykhs7s2dck:q8-40,ykhs7s2dck,q8-40,cg_c729a77b43b32b2a,TEST,False
ykhs7s2dck:q8-41,ykhs7s2dck,q8-41,cg_21ec55cc3074f4dc,TRAIN,True
ykhs7s2dck:q8-5,ykhs7s2dck,q8-5,cg_566ef10dac88cac7,TRAIN,False
ykhs7s2dck:q8-6,ykhs7s2dck,q8-6,cg_bed4f7a02414baf4,TEST,False
ykhs7s2dck:q8-7,ykhs7s2dck,q8-7,cg_1fb4ac7aa3d962f6,TRAIN,True
ykhs7s2dck:q8-8,ykhs7s2dck,q8-8,cg_8fd87d72a8d71b83,VALID,False
ykhs7s2dck:q8-9,ykhs7s2dck,q8-9,cg_65eb719cba763617,TRAIN,False
